timestamp,a1,a2,a3,s1,s2,s3
0,0,1,0,0.00028861284954473376,0.021817000582814217,0.9778944253921509
1,0,1,0,0.00012275404878892004,0.1544167846441269,0.8454604744911194
2,0,1,0,0.0003830229106824845,0.06734857708215714,0.9322683811187744
3,0,1,0,0.0004226196324452758,0.021622637286782265,0.9779546856880188
4,0,1,0,0.0011408909922465682,0.24782131612300873,0.7510377764701843
5,0,1,0,0.007306205108761787,0.9666409492492676,0.026052827015519142
6,0,1,0,0.0324355773627758,0.9429080486297607,0.024656349793076515
7,0,1,0,0.0957043319940567,0.8297898769378662,0.07450585067272186
8,0,0,1,0.01631208509206772,0.9489428400993347,0.03474505618214607
9,0,0,1,0.005940164905041456,0.9776711463928223,0.016388634219765663
10,0,0,1,0.01979845203459263,0.9498235583305359,0.030377961695194244
11,0,0,1,0.0779612809419632,0.9111840128898621,0.010854638181626797
12,0,0,1,0.852633535861969,0.14713098108768463,0.000235411585890688
13,0,0,0,0.9639866352081299,0.03583526611328125,0.0001781573228072375
14,0,0,0,0.5569620132446289,0.44279319047927856,0.00024472485529258847
15,0,0,0,0.9110276699066162,0.08778935670852661,0.0011830598814412951
16,0,0,0,0.9393729567527771,0.05998579412698746,0.000641188002191484
17,0,0,0,0.9881622195243835,0.01162355300039053,0.0002141041768481955
18,0,0,0,0.9928773045539856,0.0070814588107168674,4.114331386517733e-05
19,0,0,0,0.9384583234786987,0.06135038658976555,0.00019131296721752733
20,0,0,0,0.9307295680046082,0.06872983276844025,0.0005405733827501535
21,0,0,0,0.9219014644622803,0.07801426947116852,8.424610859947279e-05
22,0,0,0,0.976655900478363,0.022888485342264175,0.0004556074854917824
23,0,0,0,0.8706458806991577,0.1290379762649536,0.00031618052162230015
24,0,0,0,0.9467386603355408,0.05278266221284866,0.00047879715566523373
25,0,0,0,0.9742635488510132,0.02553095482289791,0.00020550782210193574
26,0,0,0,0.8966160416603088,0.10326607525348663,0.0001179195533040911
27,0,0,0,0.9888728260993958,0.010805885307490826,0.00032138414098881185
28,0,0,0,0.9365374445915222,0.06237000599503517,0.0010925199603661895
29,0,0,0,0.9911249279975891,0.008838674053549767,3.6364006518851966e-05
