timestamp,a1,a2,a3,s1,s2,s3
0,0,0,1,0.0005363477976061404,0.0320301316678524,0.967433512210846
1,0,0,1,0.00016821007011458278,0.09948688000440598,0.9003449082374573
2,0,0,1,0.00032328107045032084,0.060588907450437546,0.9390877485275269
3,0,0,1,0.0007288449560292065,0.09193127602338791,0.9073399305343628
4,0,0,1,0.003310863394290209,0.9889061450958252,0.007782956585288048
5,0,0,1,0.07051263004541397,0.9148616790771484,0.014625749550759792
6,0,0,1,0.028686586767435074,0.9535032510757446,0.017810212448239326
7,0,0,1,0.049269210547208786,0.9369834661483765,0.013747339136898518
8,0,0,1,0.9322596788406372,0.06632645428180695,0.0014138364931568503
9,0,0,0,0.9785143733024597,0.020498132333159447,0.000987525680102408
10,0,0,0,0.9433786869049072,0.05602157115936279,0.0005997471162118018
11,0,0,0,0.9227395057678223,0.07706142961978912,0.000199072906980291
12,0,0,0,0.9794934391975403,0.020173044875264168,0.00033346182317472994
13,0,0,0,0.9370461106300354,0.06236908957362175,0.0005847212742082775
14,0,0,0,0.9209780693054199,0.07881495356559753,0.00020693153783213347
15,0,0,0,0.9279669523239136,0.0674915760755539,0.004541450180113316
16,0,0,0,0.8691736459732056,0.1302867978811264,0.0005395465414039791
17,0,0,0,0.939546525478363,0.06025117635726929,0.00020225111802574247
18,0,0,0,0.7281315922737122,0.271639347076416,0.00022909653489477932
19,0,0,0,0.9100872278213501,0.08964276313781738,0.0002700310433283448
20,0,0,0,0.9911847710609436,0.008668267168104649,0.00014696980360895395
21,0,0,0,0.9687132239341736,0.03119264543056488,9.407678589923307e-05
22,0,0,0,0.9052467942237854,0.09441433101892471,0.0003389025805518031
23,0,0,0,0.9232800602912903,0.07641536742448807,0.0003045213525183499
24,0,0,0,0.9618445634841919,0.03794170543551445,0.0002136912225978449
25,0,0,0,0.9632842540740967,0.03598366677761078,0.000732014887034893
26,0,0,0,0.9796008467674255,0.01985185220837593,0.0005473745986819267
27,0,0,0,0.9913085103034973,0.00852656364440918,0.00016501170466654003
28,0,0,0,0.9891601204872131,0.010709594003856182,0.0001302959572058171
29,0,0,0,0.9877262711524963,0.012177752330899239,9.601155761629343e-05
