timestamp,a1,a2,a3,s1,s2,s3
0,0,1,0,0.05885763093829155,0.9082292914390564,0.032913096249103546
1,0,1,0,0.005472451448440552,0.9937830567359924,0.0007445592782460153
2,0,1,0,0.016795890405774117,0.964186429977417,0.019017744809389114
3,0,1,0,0.012341181747615337,0.9657658934593201,0.021892908960580826
4,0,1,0,7.326019112952054e-05,0.02129707671701908,0.9786296486854553
5,0,1,0,0.0006727759027853608,0.01617359183728695,0.9831536412239075
6,0,1,0,0.9444944858551025,0.05532551184296608,0.00018003972945734859
7,0,0,0,0.9908289909362793,0.00908032525330782,9.069874067790806e-05
8,0,0,0,0.8548754453659058,0.14503344893455505,9.11313618416898e-05
9,0,0,0,0.950594425201416,0.048884179443120956,0.0005213471595197916
10,0,0,0,0.9839665293693542,0.01595921628177166,7.425370858982205e-05
11,0,0,0,0.8697165846824646,0.12986700236797333,0.00041639356641098857
12,0,0,0,0.9883459210395813,0.011558030731976032,9.606070670997724e-05
13,0,0,0,0.9376566410064697,0.062163230031728745,0.0001801491598598659
14,0,0,0,0.951251208782196,0.04857748746871948,0.00017124234000220895
15,0,0,0,0.9820713400840759,0.017850229516625404,7.843026833143085e-05
16,0,0,0,0.8164910674095154,0.18257123231887817,0.0009377382230013609
17,0,0,0,0.8249402642250061,0.1749000996351242,0.00015959383745212108
18,0,0,0,0.939720094203949,0.059412434697151184,0.0008673415286466479
19,0,0,0,0.9833536148071289,0.016614090651273727,3.232110248063691e-05
20,0,0,0,0.9256538152694702,0.07396077364683151,0.00038541731191799045
21,0,0,0,0.8690306544303894,0.13042597472667694,0.0005434112390503287
22,0,0,0,0.6895990371704102,0.3094683885574341,0.0009325749706476927
23,0,0,0,0.9917879700660706,0.007407139055430889,0.0008049121825024486
24,0,0,0,0.9388598799705505,0.059539735317230225,0.0016003986820578575
25,0,0,0,0.950311005115509,0.049004096537828445,0.0006849223864264786
26,0,0,0,0.6424621939659119,0.3571667969226837,0.00037096417509019375
27,0,0,0,0.9342278838157654,0.06364776194095612,0.00212435913272202
28,0,0,0,0.9806555509567261,0.019186200574040413,0.00015829034964554012
29,0,0,0,0.9458456039428711,0.05404564365744591,0.0001087948476197198
